Lens ID,Title,Publication Year,Publication Type,Source Title,Publisher,Source Country,Author/s,Abstract,Fields of Study,Keywords,MeSH Terms,DOI,Is Open Access
000-532-248-872-978,Factors Affecting Proximal Colon Cleansing Based on Bowel Movement Kinetics: A Prospective Observational Study.,2019,journal article,Gastroenterology research and practice,Hindawi Limited,Egypt,Dae Bum Kim; Kang-Moon Lee; Sung-Goo Kang; Sung Hoon Jung,"Background. Previous studies have suggested that relatively poor bowel preparation in the proximal colon, compared to that in the distal colon, could decrease the usefulness of colonoscopy. The aim of this study was to determine whether the “first defecation time” after polyethylene glycol (PEG) administration affects the cleansing quality in the proximal colon. Methods. A total of 425 individuals who were scheduled to undergo a screening colonoscopy were enrolled prospectively at the healthcare center of St. Vincent’s Hospital, Suwon, Korea, between April 2015 and March 2016. Bowel cleansing was performed using 4 L of PEG. Surveys were conducted to obtain information regarding the “first defecation time.” Endoscopists assessed the quality of bowel preparation in each bowel segment. Results. We investigated 425 consecutive eligible cases. The mean “first defecation time” after PEG administration was 54.35 min. The quality of bowel preparation was poorer in the proximal colon than that in the distal colon. The adequate (excellent, good) and inadequate (fair, poor) proximal colon preparation groups comprised 360 (84.7%) and 65 (15.3%) patients, respectively. A multivariate analysis revealed that female gender ( ), small waist circumference ( ), and the long “first defecation time” ( ) were independently associated with inadequate bowel preparation in the proximal colon. Conclusion. Our data document that the “first defecation time,” female gender, and a small waist circumference affect the quality of preparation in the proximal colon. Inadequate preparation in the proximal colon was more common in females. Patients with these factors undergoing colonoscopy should be monitored carefully.",Defecation; Internal medicine; Observational study; Waist; Colonoscopy; Screening colonoscopy; Inadequate bowel preparation; Proximal colon; Bowel preparation; Medicine; Gastroenterology,,,10.1155/2019/7032971,true
000-607-221-402-259,Using the behavior change wheel to identify barriers to and potential solutions for primary care clinical guideline use in four provinces in South Africa.,2018,journal article,BMC health services research,Springer Science and Business Media LLC,United Kingdom,Tamara Kredo; Sara Cooper; Amber Abrams; Jocelyn Muller; Jimmy Volmink; Salla Atkins,"Clinical practice guidelines risk having little impact on healthcare if not effectively implemented. Theory informed, targeted implementation may maximise their impact. Our study explored barriers to and facilitators of guideline implementation and use by South African primary care nurses and allied healthcare workers in four provinces in South Africa. We also proposed interventions to address the issues identified. We used qualitative research methods, comprising focus group discussions using semi-structured topic guides. Seven focus group discussions were conducted (48 providers) in four South African provinces (Eastern Cape, Western Cape, Kwazulu-Natal, Limpopo). Participants included mostly nurses, dieticians, dentists, and allied health practitioners, from primary care facilities in rural and peri-urban settings. The analysis proceeded in three phases. Firstly, two analysts conducted inductive thematic content analysis to develop themes of data. This was followed by fitting emergent themes to the Theoretical Domains Framework and finally to the associated Behaviour Change Wheel to identify relevant interventions. Participants are knowledgeable about guidelines, generally trust their credibility and are receptive and motivated to use them. Guidelines are seen by nurses to provide confidence and reassurance, as well as professional authority and independence where doctors are scarce. Barriers to guideline use include: inadequate systems for printed book distribution, insufficient and substandard photocopies, linguistic inappropriateness (e.g. complicated language, lack of summaries, unavailable in local languages), unsupportive auditing procedures, limited involvement of end-users in guideline development, and patchy training that may not filter back to all providers. Future aspirations identified include: improving the design features of guidelines, accessible places to find guidelines, making digitally-formatted versions available, more supplementary materials (e.g. posters) to support patient engagement, accessible clinical support following training, and in-facility training for all professional cadres to ensure fair access, similar levels of capability and interdisciplinary consistency. South African primary care nurses and allied health practitioners have high levels of motivation to use guidelines, but face many systemic barriers. We used the Behaviour Change Wheel to suggest relevant, implementable interventions addressing identified barriers. This theory-informed approach may improve clinical guideline implementation and impact healthcare for South Africa.",Health administration; Behavior change; Health informatics; Health care; Guideline; Medical education; Nursing research; Focus group; Medicine; Thematic analysis,Behaviour change; Clinical practice guidelines; Focus groups; Implementation; Primary care; Qualitative research; Quality improvement; Theoretical domains framework,"Allied Health Personnel/psychology; Delivery of Health Care/standards; Focus Groups; Guideline Adherence; Health Knowledge, Attitudes, Practice; Health Personnel/statistics & numerical data; Humans; Motivation; Practice Guidelines as Topic; Primary Care Nursing/psychology; Primary Health Care/standards; Professional Practice/standards; Qualitative Research; Quality Improvement; Rural Health; South Africa",10.1186/s12913-018-3778-2,true
001-046-496-996-745,An Exploratory Assessment of a Multidimensional Healthcare and Economic Data on COVID-19 in Nigeria.,2020,journal article,Data in brief,Elsevier BV,Netherlands,Ezekiel Ogundepo; Sakinat Oluwabukonla Folorunso; Olubayo Adekanmbi; Olalekan Akinsande; Oluwatobi Banjo; Emeka Ogbuju; Francisca Oladipo; Olawale Victor Abimbola; Ehizokhale Oseghale; Oluwatobi Babajide,"The coronavirus disease of 2019 (COVID-19) is a pandemic that is ravaging Nigeria and the world at large. This data article provides a dataset of daily updates of COVID-19 as reported online by the Nigeria Centre for Disease Control (NCDC) from February 27, 2020 to September 29, 2020. The data were obtained through web scraping from different sources and it includes some economic variables such as the Nigeria budget for each state in 2020, population estimate, healthcare facilities, and the COVID-19 laboratories in Nigeria. The dataset has been processed using the standard of the FAIR data principle which encourages its findability, accessibility, interoperability, and reusability and will be relevant to researchers in different fields such as Data Science, Epidemiology, Earth Modelling, and Health Informatics.",Health informatics; Health care; Findability; Interoperability; Geography; Data science; Economic data; Web scraping; Population; Pandemic,COVID-19 cases per state; COVID-19 laboratories; Economy; Healthcare facilities; NCDC tweets; Nigeria states budget; Population; Time series,,10.1016/j.dib.2020.106424,true
001-403-380-206-644,"Development and validation of an instrument in job evaluation factors of physicians in public hospitals in Beijing, China",2021,journal article,PloS one,Public Library of Science (PLoS),United States,Dan Zhang; Meixia Liao; Pusheng Wang; Herng-Chia Chiu,"Background ; Job evaluation has been widely used to establish a foundation for internal equity and other human resource functions. The United Kingdom adopts the National Health Service (NHS) Job Evaluation scheme to determine the pay bands for most NHS staff and ensure equal pay for work of equal value. The challenges of recruiting and retaining physicians in Chinese public hospitals have heightened the need for a reliable job evaluation system to ensure the equality of physician compensation. The aim of this study was to construct job evaluation factors of physicians in Chinese public hospitals based on the NHS Job Evaluation scheme and to examine the reliability and validity of the established system.; ; ; Methods ; Questionnaire surveys and statistical analyses were used to determine the job evaluation factors for physicians. The preliminary screening of the evaluation factors was based on a literature review, focused interviews with physicians and the Delphi method. Based on the results of preliminary screening, a questionnaire with 25 factors was designed to survey physicians regarding the importance of each factor in physician job evaluation. After the pretest, final questionnaire data were collected from 900 physicians by adopting a stratified sampling from 6 tertiary public hospitals in Beijing. A principal component analysis was used for factor extraction and structural validity analysis. The reliability was determined using Cronbach’s alpha.; ; ; Results ; The results of the principal component analysis showed that the 25 physician job evaluation factors were grouped into the 5 dimensions of Task Characteristics, Knowledge, Responsibility, Effort/Environment, and Skills. The Cronbach’s alpha coefficients of the five dimensions ranged from 0.841 to 0.909, which indicated a high level of reliability. The result of the factor analysis indicated fair structural validity. The content validity was established by building onto the NHS Job Evaluation scheme and other well-established job evaluation systems.; ; ; Conclusions ; Our study indicates that the Chinese version of physician job evaluation is an instrument with fair reliability and validity, which fully reflects the characteristics of physicians in Chinese public hospitals. This system can provide an important basis for developing a physician compensation plan and ensuring internal equity in healthcare organizations.",Cronbach's alpha; Psychology; Health care; Equity (finance); Job evaluation; Reliability (statistics); Stratified sampling; Medical education; Content validity; Delphi method,,"Adult; Attitude of Health Personnel; Beijing; Female; Hospitals, Public; Humans; Job Satisfaction; Male; Middle Aged; Physicians; Psychology, Industrial/methods; Surveys and Questionnaires; Work Performance",10.1371/journal.pone.0244584,true
001-458-313-713-791,Rationing cancer treatment: a qualitative study of perceptions of legitimate limit-setting,2018,journal article,BMC health services research,Springer Science and Business Media LLC,United Kingdom,Eli Feiring; Hege Wang,"Governments are facing tough choices about whether to fund new, promising but highly expensive drugs within the public healthcare system. Decisions that some drugs are not sufficiently beneficial relative to their cost to merit public funding are often contentious. The importance of making decisions that stakeholders can understand and accept as legitimate is increasingly recognized and is commonly understood to be a crucial component for stakeholder support and successful implementation. Yet, little is known about clinicians’ perceptions of legitimate limit-setting. This study aimed to examine oncologists’ perceptions of the legitimacy of governmental decisions to deny patients access to new cancer drugs because effectiveness and cost-effectiveness of the drugs has not been demonstrated. Semi-structured in-depth interviews with 12 Norwegian oncologists were carried out. Data were interpreted with the use of theory driven thematic analysis. The analytical framework of Accountability for reasonableness aided data gathering and interpretation. The participants endorsed the ideal of explicit criteria-based priority setting. Yet, when confronted with actual rationing decisions, they were far more equivocal. They advocated for increased access to drugs and were not always prepared to accept rationing of drugs they felt would benefit their patient. Distrust in the Norwegian centralised drug review process was found and different rationales were identified: i) Lack of engagement with the process, ii) Disagreement with the use of rationing criteria, iii) Lack of transparency and lack of dispute resolution procedures. Concerns about the wider implications of rationing decisions were reported. Most importantly, these related to negative impact on patient-doctor relationship of micro-level rationing and to inequities in drug availability resulting from privatisation of high-cost cancer treatment. Drawing on the analytical framework, we conclude that perceptions of legitimacy regarding rationing of high-cost drugs include procedural fairness. However, notions of substantive justice also seem to be important for accepting reasons given for decisions. Regulatory legitimacy may further warrant a more sophisticated theoretical account of second-order beliefs about the justifiability of rationing new technologies. These findings indicate a need for a broader concept of legitimacy than is commonly used in the literature on healthcare prioritisation.",Dispute resolution; Stakeholder; Justice (ethics); Rationing; Accountability; Distrust; Public relations; Legitimacy; Medicine; Thematic analysis,Cancer drugs; Clinicians; High-cost; Legitimacy; Norway; Priority-setting; Rationing; Thematic analysis,"Choice Behavior; Cost-Benefit Analysis; Decision Making; Drug Costs; Female; Health Care Rationing; Health Knowledge, Attitudes, Practice; Health Priorities; Humans; Interviews as Topic; Neoplasms/drug therapy; Norway; Physician-Patient Relations; Qualitative Research; Social Responsibility",10.1186/s12913-018-3137-3,true
001-693-803-506-138,Parental incarceration and children's oral health in the United States: Findings from the 2016-2018 National Survey of Children's Health.,2020,journal article,Community dentistry and oral epidemiology,Wiley,United Kingdom,Alexander Testa; Dylan B. Jackson,"Objective This study aimed to examine the association between parental incarceration and children's oral health in the United States and assess the degree to which household socioeconomic factors, children's healthcare insurance and oral healthcare utilization/preventive care explain this association. Methods Using data from the 2016-2018 National Survey of Children's Health (NSCH; N = 99 962), a series of logistic regression models were used to investigate the association between parental incarceration and a variety of children's oral health conditions. The Karlson-Holm-Breen method was used to assess the degree to which household socioeconomic factors, children's healthcare insurance and oral healthcare utilization/preventive care visits reduced the association between parental incarceration and children's oral health. Results Results from logistic regression analyses demonstrated that net of control variables, children of incarcerated parents have significantly worse oral health including poor or fair teeth condition (OR = 2.71, 95% CI = 2.23-3.29), toothaches (OR = 1.72, 95% CI = 1.36-2.18), gum bleeding (2.12, 95% CI = 1.52-2.94), cavities/tooth decay (OR = 1.50, 95% CI = 1.26-1.77) and are more likely to have unmet dental care needs (OR = 1.78, 95% CI = 1.28-2.46). Attenuation analyses demonstrated this relationship is partially explained by household material hardship and children's health insurance. Conclusions Parental incarceration is associated with worse oral health and unmet dental care needs. Household material hardship and children's health insurance partially attenuate this association. Efforts to expand oral health literacy to incarceration-exposed parents, and policies that buffer against material hardship and inadequacies in children's health insurance may be useful for improving oral health of children whose parents have been incarcerated.",Socioeconomic status; Logistic regression; Health care; Dental care; Early childhood caries; Health insurance; Oral health; Literacy; Medicine; Environmental health,early childhood caries; incarceration; oral health; parental incarceration; pediatric dentistry,Child; Child Health; Dental Caries/epidemiology; Humans; Oral Health; Parents; Socioeconomic Factors; United States/epidemiology,10.1111/cdoe.12588,false
001-740-645-110-89X,Evaluating patient experiences in decentralised acute care using the Picker Patient Experience Questionnaire; methodological and clinical findings,2017,journal article,BMC health services research,Springer Science and Business Media LLC,United Kingdom,Ann-Chatrin Linqvist Leonardsen; Vigdis Abrahamsen Grøndahl; Waleed Ghanima; Espen Storeheier; Anders Schönbeck; Thor-Asbjørn Løken; Nina Carine Mikkelsen Bakken; Guro Steine Letting; René Holst; Lars-Petter Jelsness-Jørgensen,"Decentralised acute care services have, through the establishment of municipality acute wards (MAWs), been launched in Norway. The aim is to provide treatment for patients who otherwise would need hospitalisation. Currently there is a lack of studies investigating patient experiences in such services. The aims of this study were therefore to a) translate and validate the Picker Patient Experience Questionnaire (PPE-15) in Norwegian, and b) assess patient experiences in decentralised acute care, and potential factors associated with these experiences. Patients were recruited from five municipal acute wards in southeastern Norway during the period from June 2014 to June 2015. Data on socio-demographics, length of stay and comorbidity (Charlson comorbidity index (CCI)) were collected. Patients completed the Picker Patient Experience Questionnaire (PPE-15) and the EuroQOL 5-dimension, 3-level version. Convergent validity of the PPE-15 was assessed by correlation of items in PPE-15 and the Nordic Patient Experience Questionnaire (NORPEQ). A retest of the PPE-15 was performed in a subgroup of patients approximately 3 weeks after baseline assessment. Test-retest agreement was assessed with Cohens’ unweighted Kappa. A total of 479 patients responded, median age 78.0 years and 41.8% men. A total of 68 patients participated in the retest. Testing of convergent validity revealed an overall weak to moderate correlation. Kappa statistics showed from fair to good test-retest agreement. Most problems were related to continuity and transition, while fewest problems were related to respect for patient preferences. A higher Charlson comorbidity score was the only variable that was negatively associated with patient experience. Patients reported problems in several items of the PPE-15 after discharge from decentralised acute wards. The findings from the current study may be helpful for planning ways to improve quality of care, e.g., by providing feedback to healthcare personnel or by using patient experience as a quality indicator.",Psychiatry; Convergent validity; Health administration; Health care; Cohen's kappa; Physical therapy; Patient satisfaction; Patient experience; Comorbidity; Acute care; Medicine,Acute healthcare; Comorbidity; Decentralised; Patient experiences; Primary care; Quality; Questionnaire; Self-reported health; Socio-demographics,"Aged; Comorbidity; Episode of Care; Female; Follow-Up Studies; Geriatric Assessment; Hospitals/standards; Humans; Male; Norway/epidemiology; Outcome Assessment, Health Care; Patient Discharge/standards; Patient Satisfaction/statistics & numerical data; Quality Indicators, Health Care/standards; Surveys and Questionnaires",10.1186/s12913-017-2614-4,true
001-890-059-514-123,"Acceptability of, and preferences for, remote consulting during COVID-19 among older patients with two common long-term musculoskeletal conditions: findings from three qualitative studies and recommendations for practice.",2022,journal article,BMC musculoskeletal disorders,Springer Science and Business Media LLC,United Kingdom,Zoe Paskins; Laurna Bullock; Fay Manning; Simon Bishop; Paul Campbell; Elizabeth Cottrell; G P Partner; Clare Jinks; Melanie Narayanasamy; Ian C Scott; Opinder Sahota; Sarah Ryan,"<AbstractText Label=""BACKGROUND"" NlmCategory=""BACKGROUND"">Guidance for choosing face-to-face vs remote consultations (RCs) encourages clinicians to consider patient preferences, however, little is known about acceptability of, and preferences for RCs, particularly amongst patients with musculoskeletal conditions. This study aimed to explore the acceptability of, and preferences for, RC among patients with osteoporosis and rheumatoid arthritis.</AbstractText>;           <AbstractText Label=""METHODS"" NlmCategory=""METHODS"">Three UK qualitative studies, exploring patient experiences of accessing and receiving healthcare, undertaken during the pandemic, with people with osteoporosis and rheumatoid arthritis. Study team members agreed a consistent approach to conduct rapid deductive analysis using the Theoretical Framework of Acceptability (TFA) on transcripts from each data set relating to RC, facilitated by group meetings to discuss interpretations. Findings from the three studies were pooled.</AbstractText>;           <AbstractText Label=""RESULTS"" NlmCategory=""RESULTS"">Findings from 1 focus group and 64 interviews with 35 people were included in the analysis. Participants' attitudes to RC, views on fairness (ethicality) and sense-making (intervention coherence) varied according to their needs within the consultation and views of the pandemic. Some participants valued the reduced burden associated with RC, while others highly valued non-verbal communication and physical examination associated with face-to-face consults (opportunity costs). Some participants described low confidence (self-efficacy) in being able to communicate in RCs and others perceived RCs as ineffective, in part due to suboptimal communication.</AbstractText>;           <AbstractText Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"">Acceptability of, and preferences for RC appear to be influenced by societal, healthcare provider and personal factors and in this study, were not condition-dependant. Remote care by default has the potential to exacerbate health inequalities and needs nuanced implementation.</AbstractText>;           <CopyrightInformation>© 2022. The Author(s).</CopyrightInformation>",Medicine; Focus group; Qualitative research; Health care; Family medicine; Intervention (counseling); Nursing; Social science; Marketing; Sociology; Economics; Business; Economic growth,Osteoporosis; Remote consultation; Rheumatoid arthritis; Telemedicine,COVID-19/epidemiology; Focus Groups; Humans; Patient Preference; Qualitative Research; Referral and Consultation,10.1186/s12891-022-05273-1,true
002-015-955-499-882,Excellence in continence care: an overview.,2016,journal article,British journal of nursing (Mark Allen Publishing),Mark Allen Group,United Kingdom,Paula Simpson,"established in 2012 to develop policies to address inequalities in the healthcare service. In November 2015, Excellence in continence care was published (NHS England, 2015a). This focuses on collaborative working in continence care with a view to achieving excellence, fairness and equality of care throughout England, and highlighting the need to listen to the requirements of service users. The aim of the publication is to give commissioning teams practical guidance on how to implement services for best care for their local population, in line with the five domains in Outcomes Framework 2015/2016 (NHS England, 2015b). Reviewing Excellence in continence care, it is evident that a clear pathway of care has been described to ensure that the provision and delivery of continence care are understood, and that predefined standards, with measurable outcomes, are achievable. Urinary incontinence is defined as any involuntary leakage of urine (Abrams et al, 2002) and faecal incontinence as the involuntary loss of liquid, gas or solid matter via the rectum (Norton et al, 2010). Excellence in continence care cites Buckley and Lapitans’ published data from 2009, which concluded that 14 million adults have bladder dysfunction and a further 6.5 million have bowel dysfunction in the UK. The data, although a number of years old, highlight the prevalence of the problem, which may be vastly underestimated, as many people feel uncomfortable seeking help because of embarrassment and stigma (National Institute for Health and Care Excellence, 2007). The result is that many people suffer in silence (Bladder and Bowel Foundation, 2016). Continence should be regarded as a basic right for an individual, a belief championed by the Kent Continence Service, which states: ‘everyone has the right to be continent’ (Kent Community NHS Foundation Trust, 2015). Excellence in continence care: an overview",Psychology; Nursing; Project commissioning; Stigma (botany); Embarrassment; Excellence; Urinary incontinence; MEDLINE; Service (business); Nursing care,,Fecal Incontinence/diagnosis; Humans; Nursing Care/standards; Practice Guidelines as Topic; Quality of Health Care/standards; State Medicine/standards; United Kingdom; Urinary Incontinence/diagnosis,10.12968/bjon.2016.25.2.92,false
002-543-682-149-834,Free Sugars Consumption around Bedtime and Dental Caries in Children: A Systematic Review:,2018,journal article,JDR clinical and translational research,,United States,K. Baghlaf; Vanessa Muirhead; Paula Moynihan; S. Weston-Price; Cynthia Pine,"This systematic review aimed to assess the association between food and drink consumption around bedtime-specifically, food and drinks containing free sugars-and the risk of dental caries in children. Five electronic databases were searched (PubMed, Ovid Medline, EMBASE, Web of Science, and Scopus) to identify studies that investigated any relationship between food and drink around bedtime and dental caries in 3- to 16-y-old children. The Agency for Healthcare Research and Quality domain guidelines were used to assess the quality of the individual studies, while GRADE guidelines assessed the quality of studies based on the body of evidence. From 1,270 retrieved titles, 777 remained after removal of duplicates. Of these, 72 were reviewed in full. Eighteen studies fulfilled the inclusion criteria and were included in the analysis: 13 cross-sectional, 4 cohort, and 1 case-control. Studies were categorized into 3 age groups: 3- to 5-y-old, 6- to 11-y-old, and 12- to 16-y-old children. Based on the Agency for Healthcare Research and Quality criteria, 6 of the 18 studies were rated as providing good-quality evidence; 8 were rated as fair; and 4 were categorized as being of poor quality. It was not possible to conduct a meta-analysis, because of the considerable variations in the type of bedtime exposure and outcome measures. The studies showed a consistent positive association across the 3 age groups, with all 7 studies on preschool children reporting significant positive associations. However, the quality of the body of evidence pertaining to the consumption of food and drinks at bedtime (specifically, food and drinks containing free sugars) and risk of caries was rated as ""very low."" The results suggest that restricting free sugars before and at bedtime may reduce the risk of caries, but studies with improved design are needed to confirm this. Knowledge Transfer Statement: This is the first systematic review of the evidence assessing the association between caries risk in children and the consumption of food or drinks at bedtime-specifically, foods and drinks containing free sugars. Although the data showed a consistent positive association, the quality of evidence was very low. This means that the current recommendation to restrict food and drinks containing free sugars before bedtime in children, while based on a sound physiologic premise, is supported only by very low-quality published evidence as measured by GRADE guidelines.",Consumption (economics); Cross-sectional study; Health care; Cohort study; Bedtime; Before Bedtime; Medicine; Cohort; Scopus; Environmental health,cariogenic diet; dental decay; food and drink; night snacks; schoolchildren; sucrose,"Child, Preschool; Cohort Studies; Cross-Sectional Studies; Dental Caries; Dietary Sugars; Food; Humans; Sugars; Time Factors; United States",10.1177/2380084417749215,true
