id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	abstract	-0.0535	1.2096	3	10	16	4	2022
2	accessibility	0.6413	-0.4562	1	17	28	4	2020.75
3	accessible	-0.6507	-0.6648	2	19	39	7	2020.8571
4	artificial intelligence	-0.0516	0.2825	3	18	21	4	2021.5
5	collaboration	0.2224	-0.7529	1	16	20	4	2021.5
6	covid	0.6095	0.6372	3	18	31	8	2021.375
7	data sharing	-0.4421	-0.5775	2	21	39	6	2021.3333
8	database	-0.6598	-0.1866	2	17	25	7	2019.7143
9	dataset	0.2539	0.515	3	23	54	12	2021.0833
10	fair principle	0.3645	-0.5476	1	18	29	5	2020.8
11	findability	0.5073	-0.329	1	20	33	5	2020.6
12	findable	-0.5608	-0.7383	2	19	39	7	2020.8571
13	framework	-0.6931	0.4974	2	18	29	6	2021
14	healthcare	0.6422	-0.0521	1	21	37	8	2020.875
15	number	-0.1835	0.6635	3	23	38	9	2020.3333
16	order	0.1912	-0.206	1	15	18	4	2019.75
17	pandemic	0.5827	0.8555	3	16	28	6	2021.3333
18	paper	0.528	0.0753	1	16	23	5	2020.2
19	process	-0.0011	-0.1445	1	15	20	5	2020.2
20	publication	-0.3246	0.5702	3	20	28	5	2020.6
21	registry	-0.9745	-0.0386	2	16	26	5	2020.8
22	researcher	0.9532	-0.1302	1	17	33	6	2020.5
23	reusability	0.8083	-0.5565	1	18	31	5	2020.6
24	time	-0.6556	0.2941	2	18	30	6	2021.8333
25	use	-0.6384	0.0649	2	21	32	6	2022.1667
26	work	-0.4154	-0.2844	2	22	37	8	2021.25
