,Lens ID,Title,Publication Year,Publication Type,Source Title,Publisher,Source Country,Author/s,Abstract,Fields of Study,Keywords,MeSH Terms,DOI,Is Open Access,Lang,Category
2,001-046-496-996-745,An Exploratory Assessment of a Multidimensional Healthcare and Economic Data on COVID-19 in Nigeria.,2020,journal article,Data in brief,Elsevier BV,Netherlands,Ezekiel Ogundepo; Sakinat Oluwabukonla Folorunso; Olubayo Adekanmbi; Olalekan Akinsande; Oluwatobi Banjo; Emeka Ogbuju; Francisca Oladipo; Olawale Victor Abimbola; Ehizokhale Oseghale; Oluwatobi Babajide,"The coronavirus disease of 2019 (COVID-19) is a pandemic that is ravaging Nigeria and the world at large. This data article provides a dataset of daily updates of COVID-19 as reported online by the Nigeria Centre for Disease Control (NCDC) from February 27, 2020 to September 29, 2020. The data were obtained through web scraping from different sources and it includes some economic variables such as the Nigeria budget for each state in 2020, population estimate, healthcare facilities, and the COVID-19 laboratories in Nigeria. The dataset has been processed using the standard of the FAIR data principle which encourages its findability, accessibility, interoperability, and reusability and will be relevant to researchers in different fields such as Data Science, Epidemiology, Earth Modelling, and Health Informatics.",Health informatics; Health care; Findability; Interoperability; Geography; Data science; Economic data; Web scraping; Population; Pandemic,COVID-19 cases per state; COVID-19 laboratories; Economy; Healthcare facilities; NCDC tweets; Nigeria states budget; Population; Time series,,10.1016/j.dib.2020.106424,True,en,FAIRification of data
31,008-165-777-582-81X,Making radiotherapy more efficient with FAIR data,2021,journal article,Physica medica : PM : an international journal devoted to the applications of physics to medicine and biology : official journal of the Italian Association of Biomedical Physics (AIFB),Associazione Italiana di Fisica Medica,Italy,Petros Kalendralis; Matthijs Sloep; Johan van Soest; Andre Dekker; Rianne Fijten,"Given the rapid growth of artificial intelligence (AI) applications in radiotherapy and the related transformations toward the data-driven healthcare domain, this article summarizes the need and usage of the FAIR (Findable, Accessible, Interoperable, Reusable) data principles in radiotherapy. This work introduces the FAIR data concept, presents practical and relevant use cases and the future role of the different parties involved. The goal of this article is to provide guidance and potential applications of FAIR to various radiotherapy stakeholders, focusing on the central role of medical physicists.",Health care; Domain (software engineering); Work (electrical); Interoperability; Data science; Medical physicist; Use case; Computer science,Artificial intelligence; FAIR data; Radiotherapy,Artificial Intelligence,10.1016/j.ejmp.2021.01.083,True,en,Overview and Adoption of FAIR Principles
36,008-576-734-483-121,Multi-Institutional Breast Cancer Detection Using a Secure On-Boarding Service for Distributed Analytics,2022,journal article,Applied Sciences,MDPI AG,,Sascha Welten; Lars Hempel; Masoud Abedi; Yongli Mou; Mehrshad Jaberansary; Laurenz Neumann; Sven Weber; Kais Tahar; Yeliz Ucer Yediel; Matthias Löbe; Stefan Decker; Oya Beyan; Toralf Kirsten,"<jats:p>The constant upward movement of data-driven medicine as a valuable option to enhance daily clinical practice has brought new challenges for data analysts to get access to valuable but sensitive data due to privacy considerations. One solution for most of these challenges are Distributed Analytics (DA) infrastructures, which are technologies fostering collaborations between healthcare institutions by establishing a privacy-preserving network for data sharing. However, in order to participate in such a network, a lot of technical and administrative prerequisites have to be made, which could pose bottlenecks and new obstacles for non-technical personnel during their deployment. We have identified three major problems in the current state-of-the-art. Namely, the missing compliance with FAIR data principles, the automation of processes, and the installation. In this work, we present a seamless on-boarding workflow based on a DA reference architecture for data sharing institutions to address these problems. The on-boarding service manages all technical configurations and necessities to reduce the deployment time. Our aim is to use well-established and conventional technologies to gain acceptance through enhanced ease of use. We evaluate our development with six institutions across Germany by conducting a DA study with open-source breast cancer data, which represents the second contribution of this work. We find that our on-boarding solution lowers technical barriers and efficiently deploys all necessary components and is, therefore, indeed an enabler for collaborative data sharing.</jats:p>",Workflow; Software deployment; Enabling; Computer science; Analytics; Data sharing; Cloud computing; Service (business); Computer security; Data science; Knowledge management; Business; Database; Software engineering; Medicine; Psychology; Alternative medicine; Pathology; Marketing; Psychotherapist; Operating system,,,10.3390/app12094336,True,en,Infrastructure and Tools
44,009-986-519-168-493,Implementation of a clinical trial recruitment support system based on fast healthcare interoperability resources (FHIR) in a cardiology department,2022,journal article,European Heart Journal,Oxford University Press (OUP),United Kingdom,C Scherer; S Endres; M Orban; S Kaeaeb; S Massberg; A Winter; M Loebe,"<jats:title>Abstract</jats:title>;                <jats:sec>;                   <jats:title>Background</jats:title>;                   <jats:p>Clinical Trial Recruitment Support Systems can booster patient inclusion of clinical trials by automatically analyzing eligibility criteria based on electronic health records. However, missing interoperability has hindered introduction of those systems on a broader scale.</jats:p>;                </jats:sec>;                <jats:sec>;                   <jats:title>Purpose</jats:title>;                   <jats:p>Our aim was to develop a recruitment support system based on FHIR R4 and evaluate its usage and features in a cardiology department.</jats:p>;                </jats:sec>;                <jats:sec>;                   <jats:title>Methods/Implementation</jats:title>;                   <jats:p>Clinical conditions, anamnesis, examinations, allergies, medication, laboratory data and echocardiography results were imported as FHIR resources. Trial study nurses and physicians were enabled to add new and edit trial information and input inclusion and exclusion criteria using a web-browser user interface in the hospital intranet. All information were recorded on the server side as the FHIR resources “ResearchStudy” and “Group”. Eligibility criteria linked by the logical operation “OR” were represented by using multiple FHIR Group resources for enrollment. On the client side, eligibility criteria were transformed to a tree-like structure (see Figure 1). Upon user demand, all hospitalized and ambulatory patients in the cardiology department were instantly screened for trial eligibility using the FHIR eligibility criteria on the existing patients' FHIR resources. Furthermore, study personal was able to manually edit trial status (i.e. ineligible, on-study, ...) of patients, which was implemented using the FHIR resource “ResearchSubject”.</jats:p>;                </jats:sec>;                <jats:sec>;                   <jats:title>Results</jats:title>;                   <jats:p>This implementation of a CTRSS based on FHIR R4 was evaluated in clinical practice: Beginning from 1st April 2021 the application was used as an additional patient screening tool for the four trials CLOSURE-AF, FAIR-HF2, SPRIRIT-HF and TORCH-PLUS of the German Centre for Cardiovascular Research. As the COVID-19 pandemic is prohibiting any proper comparison of patient inclusion rates, efficacy of the recruitment support system was tested by comparing the numbers of patients identified by the recruitment support system and enrolled in a trial to the actual number of enrolled patients irrespective of the screening method from 1st April 2021 to 23rd November 2021. The system was able to identify 52 of 55 patients included in those four clinical trials.</jats:p>;                </jats:sec>;                <jats:sec>;                   <jats:title>Conclusion</jats:title>;                   <jats:p>Use of FHIR for defining eligibility criteria of clinical trials may facilitate interoperability and allow automatic screening for eligible patients at multiple sites of different healthcare providers in the future. Upcoming changes in FHIR should allow easier description of “OR”-linked eligibility criteria.</jats:p>;                </jats:sec>;                <jats:sec>;                   <jats:title>Funding Acknowledgement</jats:title>;                   <jats:p>Type of funding sources: Public grant(s) – National budget only. Main funding source(s): Deutsche Forschungsgemeinschaft</jats:p>;                </jats:sec>",Medicine; Clinical trial; Intranet; Interoperability; Medical emergency; Health care; Inclusion and exclusion criteria; The Internet; World Wide Web; Internal medicine; Computer science; Alternative medicine; Pathology; Economics; Economic growth,,,10.1093/eurheartj/ehac544.2795,True,en,Infrastructure and Tools
69,014-359-517-534-478,"Registries, Databases and Repositories for Developing Artificial Intelligence in Cancer Care.",2021,journal article,Clinical oncology (Royal College of Radiologists (Great Britain)),W.B. Saunders Ltd,United Kingdom,J W Wang; M Williams,"Modern artificial intelligence techniques have solved some previously intractable problems and produced impressive results in selected medical domains. One of their drawbacks is that they often need very large amounts of data. Pre-existing datasets in the form of national cancer registries, image/genetic depositories and clinical datasets already exist and have been used for research. In theory, the combination of healthcare Big Data with modern, data-hungry artificial intelligence techniques should offer significant opportunities for artificial intelligence development, but this has not yet happened. Here we discuss some of the structural reasons for this, barriers preventing artificial intelligence from making full use of existing datasets, and make suggestions as to enable progress. To do this, we use the framework of the 6Vs of Big Data and the FAIR criteria for data sharing and availability (Findability, Accessibility, Interoperability, and Reuse). We share our experience in navigating these barriers through The Brain Tumour Data Accelerator, a Brain Tumour Charity-supported initiative to integrate fragmented patient data into an enriched dataset. We conclude with some comments as to the limits of such approaches.",Interoperability; Reuse; Big data; Data sharing; Computer science; Health care; Medicine; Data science; Artificial intelligence; World Wide Web; Data mining; Ecology; Alternative medicine; Pathology; Economics; Biology; Economic growth,Artificial intelligence; Big Data; database; deep learning; registries; repository,"Artificial Intelligence; Big Data; Databases, Factual; Humans; Neoplasms/therapy; Registries",10.1016/j.clon.2021.11.040,False,en,Overview and Adoption of FAIR Principles
87,018-013-878-593-761,"A Data Transformation Methodology to Create Findable, Accessible, Interoperable, and Reusable Health Data: Software Design, Development, and Evaluation Study.",2023,journal article,Journal of medical Internet research,JMIR Publications Inc.,Canada,A Anil Sinaci; Mert Gencturk; Huseyin Alper Teoman; Gokce Banu Laleci Erturkmen; Celia Alvarez-Romero; Alicia Martinez-Garcia; Beatriz Poblador-Plou; Jonás Carmona-Pírez; Matthias Löbe; Carlos Luis Parra-Calderon,"<AbstractText Label=""BACKGROUND"">Sharing health data is challenging because of several technical, ethical, and regulatory issues. The Findable, Accessible, Interoperable, and Reusable (FAIR) guiding principles have been conceptualized to enable data interoperability. Many studies provide implementation guidelines, assessment metrics, and software to achieve FAIR-compliant data, especially for health data sets. Health Level 7 (HL7) Fast Healthcare Interoperability Resources (FHIR) is a health data content modeling and exchange standard.</AbstractText>;           <AbstractText Label=""OBJECTIVE"">Our goal was to devise a new methodology to extract, transform, and load existing health data sets into HL7 FHIR repositories in line with FAIR principles, develop a Data Curation Tool to implement the methodology, and evaluate it on health data sets from 2 different but complementary institutions. We aimed to increase the level of compliance with FAIR principles of existing health data sets through standardization and facilitate health data sharing by eliminating the associated technical barriers.</AbstractText>;           <AbstractText Label=""METHODS"">Our approach automatically processes the capabilities of a given FHIR end point and directs the user while configuring mappings according to the rules enforced by FHIR profile definitions. Code system mappings can be configured for terminology translations through automatic use of FHIR resources. The validity of the created FHIR resources can be automatically checked, and the software does not allow invalid resources to be persisted. At each stage of our data transformation methodology, we used particular FHIR-based techniques so that the resulting data set could be evaluated as FAIR. We performed a data-centric evaluation of our methodology on health data sets from 2 different institutions.</AbstractText>;           <AbstractText Label=""RESULTS"">Through an intuitive graphical user interface, users are prompted to configure the mappings into FHIR resource types with respect to the restrictions of selected profiles. Once the mappings are developed, our approach can syntactically and semantically transform existing health data sets into HL7 FHIR without loss of data utility according to our privacy-concerned criteria. In addition to the mapped resource types, behind the scenes, we create additional FHIR resources to satisfy several FAIR criteria. According to the data maturity indicators and evaluation methods of the FAIR Data Maturity Model, we achieved the maximum level (level 5) for being Findable, Accessible, and Interoperable and level 3 for being Reusable.</AbstractText>;           <AbstractText Label=""CONCLUSIONS"">We developed and extensively evaluated our data transformation approach to unlock the value of existing health data residing in disparate data silos to make them available for sharing according to the FAIR principles. We showed that our method can successfully transform existing health data sets into HL7 FHIR without loss of data utility, and the result is FAIR in terms of the FAIR Data Maturity Model. We support institutional migration to HL7 FHIR, which not only leads to FAIR data sharing but also eases the integration with different research networks.</AbstractText>;           <CopyrightInformation>©A Anil Sinaci, Mert Gencturk, Huseyin Alper Teoman, Gokce Banu Laleci Erturkmen, Celia Alvarez-Romero, Alicia Martinez-Garcia, Beatriz Poblador-Plou, Jonás Carmona-Pírez, Matthias Löbe, Carlos Luis Parra-Calderon. Originally published in the Journal of Medical Internet Research (https://www.jmir.org), 08.03.2023.</CopyrightInformation>",,FAIR principles; Findable  Accessible  Interoperable  and Reusable principles; HL7 FHIR; Health Level 7 Fast Healthcare Interoperability Resources; health data sharing; health data transformation; secondary use,Humans; Electronic Health Records; Software Design; Software; Health Level Seven; Information Dissemination,10.2196/42822,True,en,Infrastructure and Tools
124,027-288-721-002-272,Term sets: A transparent and reproducible representation of clinical code sets.,2019,journal article,PloS one,Public Library of Science (PLoS),United States,Richard Williams; Benjamin Brown; Evan Kontopantelis; Tjeerd van Staa; Niels Peek,"Objective ; Clinical code sets are vital to research using routinely-collected electronic healthcare data. Existing code set engineering methods pose significant limitations when considering reproducible research. To improve the transparency and reusability of research, these code sets must abide by FAIR principles; this is not currently happening. We propose ‘term sets’, an equivalent alternative to code sets that are findable, accessible, interoperable and reusable.; ; ; Materials and methods ; We describe a new code set representation, consisting of natural language inclusion and exclusion terms (term sets), and explain its relationship to code sets. We formally prove that any code set has a corresponding term set. We demonstrate utility by searching for recently published code sets, representing them as term sets, and reporting on the number of inclusion and exclusion terms compared with the size of the code set.; ; ; Results ; Thirty-one code sets from 20 papers covering diverse disease domains were converted into term sets. The term sets were on average 74% the size of their equivalent original code set. Four term sets were larger due to deficiencies in the original code sets.; ; ; Discussion ; Term sets can concisely represent any code set. This may reduce barriers for examining and reusing code sets, which may accelerate research using healthcare databases. We have developed open-source software that supports researchers using term sets.; ; ; Conclusion ; Term sets are independent of clinical code terminologies and therefore: enable reproducible research; are resistant to terminology changes; and are less error-prone as they are shorter than the equivalent code set.",Set (abstract data type); Natural language; Code (set theory); Software; Computer science; Representation (mathematics); Term (time); Theoretical computer science; Transparency (human–computer interaction),,"Clinical Coding; Databases, Factual; Electronic Health Records; Software",10.1371/journal.pone.0212291,True,en,FAIRification of data
128,028-004-546-589-369,Maximizing data value for biopharma through FAIR and quality implementation: FAIR plus Q.,2022,journal article,Drug discovery today,Elsevier BV,Netherlands,Ian Harrow; Rama Balakrishnan; Hande Küçük McGinty; Tom Plasterer; Martin Romacker,"Over recent years, there has been exciting growth in collaboration between academia and industry in the life sciences to make data more Findable, Accessible, Interoperable and Reusable (FAIR) to achieve greater value. Despite considerable progress, the transformative shift from an application-centric to a data-centric perspective, enabled by FAIR implementation, remains very much a work in progress on the 'FAIR journey'. In this review, we consider use cases for FAIR implementation. These can be deployed alongside assessment of data quality to maximize the value of data generated from research, clinical trials, and real-world healthcare data, which are essential for the discovery and development of new medical treatments by biopharma.",Transformative learning; Interoperability; Quality (philosophy); Computer science; Data science; Data quality; Value (mathematics); Knowledge management; Business; Marketing; World Wide Web; Psychology; Pedagogy; Philosophy; Metric (unit); Epistemology; Machine learning,Data quality assessment; Data-centric culture; FAIR data; FAIR maturity indicators; FAIR use cases,Biological Science Disciplines; Data Accuracy; Industry,10.1016/j.drudis.2022.01.006,True,en,Overview and Adoption of FAIR Principles
143,030-585-314-366-166,"Insurance claims related to opioid dependence have risen by 3200%, US study finds",2016,journal article,BMJ (Clinical research ed.),BMJ,United Kingdom,Michael McCarthy,"Private health insurance claims for opioid dependence in the United States rose more than 3200% from 2007 to 2014, an analysis of privately billed healthcare claims has shown.1 The study was conducted by FAIR Health, a New York City based non-profit corporation that maintains a database of over 20 billion privately billed healthcare claims and provides healthcare cost data and analysis to government agencies, insurers, providers, and consumers.; ; The US is currently experiencing a major epidemic of opioid dependence, misuse, and deaths resulting from overdose. The US Centers for Disease Control and Prevention noted that since 1999 the number of overdose deaths from opioids, including prescription opioids and heroin, …",Government; Health care; Medical prescription; Corporation; Heroin; Opioid; Health insurance; Insurance claims; Computer security; Family medicine; Medicine,,Adolescent; Adult; Aged; Epidemics; Female; Humans; Insurance Claim Review/statistics & numerical data; Male; Middle Aged; Opioid-Related Disorders/drug therapy; Sex Distribution; United States/epidemiology; Young Adult,10.1136/bmj.i4340,False,en,Overview and Adoption of FAIR Principles
147,031-313-139-785-60X,FAIR data sharing: The roles of common data elements and harmonization.,2020,journal article,Journal of biomedical informatics,Elsevier BV,United States,Rebecca Daniels Kush; Denise Warzel; Maura A. Kush; Alexander Sherman; Eileen A. Navarro; Ronald D. Fitzmartin; Frank Pétavy; Jose Galvez; Lauren B. Becnel; F. L. Zhou; Nicole Harmon; Barbara Jauregui; Tammy Jackson; Lynn D. Hudson,"The value of robust and responsible data sharing in clinical research and healthcare is recognized by patients, patient advocacy groups, researchers, journal editors, and the healthcare industry globally. Privacy and security concerns acknowledged, the act of exchanging data (interoperability) along with its meaning (semantic interoperability) across studies and between partners has been difficult, if not elusive. For shared data to retain its value, a recommendation has been made to follow the Findable, Accessible, Interoperable, Reusable (FAIR) principles. Without applying appropriate data exchange standards with domain-relevant content standards and accessible rich metadata that uses applicable terminologies, interoperability is burdened by the need for transformation and/or mapping. These obstacles to interoperability limit the findability, accessibility and reusability of data, thus diminishing its value and making it impossible to adhere to FAIR principles. One effort to standardize data collection has been through common data elements (CDEs). CDEs are data collection units comprising one or more questions together with a set of valid values. Some CDEs contain standardized terminology concepts that define the meaning of the data, and others include links to unique terminology concept identifiers and unique identifiers for each CDE; however, usually CDEs are defined for specific projects or collaborations and lack traceable or machine readable semantics. While the name implies that these are 'common', this has not necessarily been a requirement, and many CDEs have not been commonly used. The National Institutes of Health (NIH) CDEs are, in fact, a conglomerate of CDEs developed in silos by various NIH institutes. Therefore, CDEs have not brought the anticipated benefit to the industry through widescale interoperability, nor is there widespread reuse of CDEs. Certain institutes in the NIH recommend, albeit do not enforce, institute-specific preferred CDEs; however, at the NIH level a preponderance of choice and a lack of any overarching harmonization of CDEs or consistency in linking them to controlled terminology or common identifiers create confusion for researchers in their efforts to identify the best CDEs for their protocol. The problem of comparing data among studies is exacerbated when researchers select different CDEs for the same variable or data collection field. This manuscript explores reasons for the disappointingly low adoption of CDEs and the inability of CDEs or other clinical research standards to broadly solve the interoperability and data sharing problems. Recommendations are offered for rectifying this situation to enable responsible data sharing that will help in adherence to FAIR principles and the realization of Learning Health Systems for the sake of all of us as patients.",Unique identifier; Data exchange; Learning standards; Findability; Semantic interoperability; Interoperability; Data science; Data sharing; Computer science; Metadata,,Biomedical Research; Common Data Elements; Humans; Information Dissemination; Metadata; Population Health,10.1016/j.jbi.2020.103421,True,en,Overview and Adoption of FAIR Principles
